类别	文件A	曲名A	标签A	文件B	曲名B	标签B	公共音数	覆盖率(较短)	长度A	长度B	建议
同名多版本	不必在乎我是谁1.txt	不必在乎我是谁1		不必在乎我是谁_歌曲类.txt	不必在乎我是谁 歌曲类		60	0.35	172	216	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	望.txt	望	韩红|韩红	望_4.txt	望	韩红|韩红	73	0.35	210	210	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	美如天仙.txt	美如天仙	降央卓玛|降央卓玛	美如天仙_—.txt	美如天仙 —	降央卓玛|降央卓玛	86	0.35	248	253	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	谁_4.txt	谁	谢雨欣|谢雨欣	谁_5.txt	谁	谢雨欣|谢雨欣	47	0.35	136	139	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	青城山下白素贞.txt	青城山下白素贞	分类/通俗歌曲|分类/通俗歌曲	青城山下白素贞_-陶笛伴奏_G调.txt	青城山下白素贞 -陶笛伴奏 G调	分类/笛谱|张靓颖|分类/笛谱|张靓颖	40	0.34	276	116	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	苿莉花.txt	苿莉花	宋祖英|宋祖英	茉莉花_2.txt	茉莉花	分类/儿歌|儿歌|分类/儿歌|儿歌	31	0.34	91	212	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	全世界最好的你.txt	全世界最好的你	许嵩|许嵩	全世界最好的你_2.txt	全世界最好的你	许嵩|许嵩	25	0.34	74	228	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	吉祥的藏历年.txt	吉祥的藏历年	降央卓玛|降央卓玛	吉祥藏历年.txt	吉祥藏历年	降央卓玛|降央卓玛	70	0.34	208	270	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	说好的幸福呢.txt	说好的幸福呢	分类/通俗歌曲|分类/通俗歌曲	说好的幸福呢Jay.txt	说好的幸福呢Jay	周杰伦|周杰伦	137	0.33	411	409	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	那一天02.txt	那一天02	许巍|许巍	那一年_2.txt	那一年	许巍|许巍	27	0.33	81	267	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	荒城渡.txt	荒城渡	周深|周深	陈情令_荒城渡.txt	陈情令 荒城渡	周深|周深	24	0.33	263	73	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	孤勇者.txt	孤勇者	陈奕迅|陈奕迅	孤勇者（.txt	孤勇者（	分类/谱友上传|分类/谱友上传	109	0.33	373	332	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	相爱好往昔.txt	相爱好往昔	邓丽君|邓丽君	邓丽君_96.txt	相爱如往昔	邓丽君|邓丽君	46	0.33	141	147	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	相爱如往昔_—.txt	相爱如往昔 —	邓丽君|邓丽君	邓丽君_96.txt	相爱如往昔	邓丽君|邓丽君	46	0.33	141	147	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	遥远的路.txt	遥远的路	邓丽君|邓丽君	邓丽君_110.txt	遥远的路	邓丽君|邓丽君	33	0.32	192	102	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	清夜悠悠-桃源忆故人_—.txt	清夜悠悠-桃源忆故人 —	邓丽君|邓丽君	清夜悠悠.txt	清夜悠悠	邓丽君|邓丽君	38	0.32	118	122	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	升国旗.txt	升国旗	分类/儿歌|分类/儿歌	绿叶房.txt	绿叶房	分类/儿歌|分类/儿歌	25	0.32	85	78	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	寄语多情人.txt	寄语多情人	邓丽君|邓丽君	邓丽君_44.txt	寄语多情人	邓丽君|邓丽君	48	0.32	169	152	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	风雨彩虹.txt	风雨彩虹	田震|铿锵玫瑰|田震|铿锵玫瑰	风雨彩虹_2.txt	风雨彩虹	田震|田震	52	0.32	165	171	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	曼陀山庄.txt	曼陀山庄	许嵩|许嵩	曼陀山庄_2.txt	曼陀山庄	许嵩|许嵩	51	0.31	286	163	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	红树林.txt	红树林		红树林之歌.txt	红树林之歌	王宏伟|王宏伟	51	0.31	205	163	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 王宏伟/王宏伟
同名多版本	襟裳岬.txt	襟裳岬	邓丽君|邓丽君	邓丽君_102.txt	襟裳岬	邓丽君|邓丽君	28	0.31	223	90	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	邓丽君_120.txt	黄昏里	邓丽君|邓丽君	黄昏里.txt	黄昏里	邓丽君|邓丽君	30	0.31	97	206	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	每天爱你多一些.txt	每天爱你多一些	分类/通俗歌曲|分类/通俗歌曲	每天爱你多一点_歌曲类.txt	每天爱你多一点 歌曲类	张学友|张学友	30	0.31	97	128	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	相思比梦长_歌曲类.txt	相思比梦长 歌曲类	费玉清|费玉清	真我的风采.txt	真我的风采	刘德华|刘德华	25	0.31	81	112	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	生日快乐.txt	生日快乐	分类/儿歌|儿歌|分类/儿歌|儿歌	生日快乐完整好听版钢琴.txt	生日快乐完整好听版钢琴	分类/钢琴谱|分类/儿歌|儿歌|分类/钢琴谱|分类/儿歌|儿歌	45	0.31	146	148	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
共用曲调/改编	怒放的生命_—.txt	怒放的生命 —	汪峰|汪峰	恕放的生命.txt	恕放的生命	汪峰|汪峰	32	0.31	129	104	只部分重合: 可能是改编/片段/共用同一曲调, 人工看一眼
同名多版本	郊游.txt	郊游	分类/儿歌|儿歌|分类/儿歌|儿歌	郊游_2.txt	郊游	分类/儿歌|分类/儿歌	26	0.31	86	85	预期内(榜单的多版本留一就是这种); 不用动
共用曲调/改编	水涟漪（邓丽君.txt	水涟漪（邓丽君		邓丽君_83.txt	水涟漪	邓丽君|邓丽君	38	0.30	129	125	只部分重合(不是同一首的充分证据); 若确认同曲再考虑借标签: 邓丽君/邓丽君
同名多版本	爱人.txt	爱人	邓丽君|邓丽君	邓丽君_88.txt	爱人	邓丽君|邓丽君	27	0.30	176	89	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	山茶花.txt	山茶花	邓丽君|邓丽君	邓丽君_48.txt	山茶花	邓丽君|邓丽君	29	0.30	230	96	预期内(榜单的多版本留一就是这种); 不用动
